CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
24194,MED,04335,  1,"CMSRU Spring M2 ... 
02-JAN to 27-JUN",Day,PATIENT CTRD MD HM IM PC3 M2-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,5,0,0,0,5,0,0,0,
24195,MED,04337,  1,"CMSRU Spring M2 ... 
02-JAN to 27-JUN",Day,PATIENT CTRD MD PED PC3 M2-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,5,0,0,0,5,0,0,0,
24184,MED,04338,  1,"CMSRU Spring M1 ... 
02-JAN to 27-JUN",Day,NARRATIVES OF INITIATION,STAFF,   ,CMSRU Cooper Med School-Camden,,1,50,0,0,0,50,0,0,0,
24185,MED,04339,  1,"CMSRU Spring M1 ... 
02-JAN to 27-JUN",Day,MEDICAL IMPROVISATION,STAFF,   ,CMSRU Cooper Med School-Camden,,1,40,0,0,0,40,0,0,0,
24270,MED,04342,  1,"CMSRU Spring M3 ... 
30-DEC to 27-JUN",Day,WILDERNESS MEDICINE,STAFF,   ,CMSRU Cooper Med School-Camden,,1,25,0,0,0,25,0,0,0,
24271,MED,04343,  1,"CMSRU Spring M3 ... 
30-DEC to 27-JUN",Day,SIZE INCLUSIVE PRIMARY CARE,STAFF,   ,CMSRU Cooper Med School-Camden,,1,25,0,0,0,25,0,0,0,
24276,MED,09999,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,AWAY ELECTIVE: SELECTED ELCTV,STAFF,   ,CMSRU Cooper Med School-Camden,,1,25,0,0,0,25,0,0,0,
22827,MED,6500M,S10,"RowanSOM Spring First Year ... 
03-MAR to 25-MAY",Day,CARDIOLOGY,"Bulik, Peter",   ,Stratford,,1,999,0,0,0,999,0,0,0,
22892,MED,8054M,S40,"RowanSOM Spring Fourth Year ... 
16-DEC to 15-MAY",Day,CARDIOLOGY,"Wadehra, Ramneet",   ,Stratford,,1,999,0,0,0,999,0,0,0,
22852,MED,8202M,S20,"RowanSOM Spring Second Year ... 
05-MAY to 29-JUN",Day,GENERAL INTERNAL MEDICINE,"Shenk, Suzanne H",   ,Stratford,,1,999,0,0,0,999,0,0,0,
22879,MED,8202M,S30,"RowanSOM Spring Third Year ... 
06-JAN to 27-APR",Day,GENERAL INTERNAL MEDICINE,"Shenk, Suzanne H",   ,Stratford,,1,999,0,0,0,999,0,0,0,
22904,MED,8354M,S40,"RowanSOM Spring Fourth Year ... 
16-DEC to 15-MAY",Day,PULMONOLOGY,"Saccone, Peter J",   ,Stratford,,1,999,0,0,0,999,0,0,0,
22893,MED,9094M,S40,"RowanSOM Spring Fourth Year ... 
16-DEC to 15-MAY",Day,ENDOCRINOLOGY,"Furlong, Kevin J",   ,Stratford,,1,999,0,0,0,999,0,0,0,
22894,MED,9114M,S40,"RowanSOM Spring Fourth Year ... 
16-DEC to 15-MAY",Day,GASTROENTEROLOGY,"Blair, Brian Jeffrey",   ,Stratford,,1,999,0,0,0,999,0,0,0,
22895,MED,9134M,S40,"RowanSOM Spring Fourth Year ... 
16-DEC to 15-MAY",Day,HEMATOLOGY/ONCOLOGY,STAFF,   ,Stratford,,1,999,0,0,0,999,0,0,0,
22897,MED,9174M,S40,"RowanSOM Spring Fourth Year ... 
16-DEC to 15-MAY",Day,INFECTIOUS DISEASES,"Condoluci, Mark J
Fussa, Mark James
",   ,Stratford,,1,999,0,0,0,999,0,0,0,
22899,MED,9204M,S40,"RowanSOM Spring Fourth Year ... 
16-DEC to 15-MAY",Day,MEDICINE SUBSPECIALTY,STAFF,   ,Stratford,,1,999,0,0,0,999,0,0,0,
22901,MED,9224M,S40,"RowanSOM Spring Fourth Year ... 
16-DEC to 15-MAY",Day,NEPHROLOGY,"Varallo, Gerardo",   ,Stratford,,1,999,0,0,0,999,0,0,0,
22902,MED,9234M,S40,"RowanSOM Spring Fourth Year ... 
16-DEC to 15-MAY",Day,NEUROLOGY,"Roshal, David A.",   ,Stratford,,1,999,0,0,0,999,0,0,0,
22905,MED,9374M,S40,"RowanSOM Spring Fourth Year ... 
16-DEC to 15-MAY",Day,RHEUMATOLOGY,"Brecher, Linda",   ,Stratford,,1,999,0,0,0,999,0,0,0,
22898,MED,9454M,S40,"RowanSOM Spring Fourth Year ... 
16-DEC to 15-MAY",Day,INTENSIVE CARE UNIT,"Tartaglia, Michele",   ,Stratford,,1,999,0,0,0,999,0,0,0,
20250,MET,07301,  1,"Full Term ... 
21-JAN to 09-MAY",Day,APPL THERMAL ENERGY II,"Mhesn, Najah","M       0930 1045   (Class)
M       1100 1215   (Class)",Main,,3,0,0,0,0,0,0,0,0,
21768,METL,50513, 1C,"Module Three ... 
21-JAN to 17-MAR",Online,TEACHER LEADERSHIP IN PRACTICE,STAFF,   ,Online,,3,20,0,0,0,20,0,0,0,
21769,METL,50514, 1C,"Module Four ... 
18-MAR to 12-MAY",Online,AGENCY IN TEACHER LEADERSHIP,STAFF,   ,Online,,3,20,0,0,0,20,0,0,0,
21770,METL,50550, 1C,"Module Four ... 
18-MAR to 12-MAY",Online,SELF-STUDY TEACHER LEADERSHIP,STAFF,   ,Online,,1,20,0,0,0,20,0,0,0,
20461,MGT,01414, 1C,"Full Term ... 
21-JAN to 09-MAY",Online,"GLOBAL BUSINESS SIMULATION3+1 program students only.
",STAFF,   ,Online,,3,35,0,0,0,35,0,0,0,
20462,MGT,01414, 2C,"Full Term ... 
21-JAN to 09-MAY",Online,"GLOBAL BUSINESS SIMULATION3+1 program students only.
",STAFF,   ,Online,,3,35,0,0,0,35,0,0,0,
20463,MGT,01414, 3C,"Full Term ... 
21-JAN to 09-MAY",Online,"GLOBAL BUSINESS SIMULATION3+1 program students only.
",STAFF,   ,Online,,3,35,0,0,0,35,0,0,0,
20444,MGT,06222,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,INTRO TO SPORT MANAGEMENT,STAFF,"W       1830 1945 BUSN 208 (Class)
W       2000 2115 BUSN 208 (Class)",Main,,3,35,0,0,0,35,5,0,5,40
20453,MGT,06300,  1,"Full Term ... 
21-JAN to 09-MAY",Day,HONORS ORGANIZATIONAL BEHAVIOR,"Yang, Yang",MW      0930 1045 BUSN 221 (Class),Main,,3,20,0,0,0,20,0,0,0,40
20445,MGT,06300,  2,"Full Term ... 
21-JAN to 09-MAY",Day,ORGANIZATIONAL BEHAVIOR,"Billing, Tejinder Kaur",MW      1230 1345 BUSN 221 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20450,MGT,06300,  3,"Full Term ... 
21-JAN to 09-MAY",Day,"ORGANIZATIONAL BEHAVIORRCB students only.
",STAFF,MW      1400 1515 BUSN 208 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20451,MGT,06300,  4,"Full Term ... 
21-JAN to 09-MAY",Day,"ORGANIZATIONAL BEHAVIORRCB students only.
",STAFF,MW      1530 1645 BUSN 221 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20446,MGT,06300,  5,"Full Term ... 
21-JAN to 09-MAY",Day,ORGANIZATIONAL BEHAVIOR,"Farro, Andrea C",TR      0930 1045 BUSN 221 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20452,MGT,06300,  6,"Full Term ... 
21-JAN to 09-MAY",Day,"ORGANIZATIONAL BEHAVIORRCB students only.
","Farro, Andrea C",TR      1100 1215 BUSN 221 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20447,MGT,06300,  7,"Full Term ... 
21-JAN to 09-MAY",Day,ORGANIZATIONAL BEHAVIOR,"Farro, Andrea C",TR      1230 1345 BUSN 221 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20448,MGT,06300,  8,"Full Term ... 
21-JAN to 09-MAY",Evening,ORGANIZATIONAL BEHAVIOR,STAFF,"M       1830 1945 BUSN 221 (Class)
M       2000 2115 BUSN 221 (Class)",Main,,3,35,0,0,0,35,5,0,5,40
20449,MGT,06300,  9,"Full Term ... 
21-JAN to 09-MAY",Online,ORGANIZATIONAL BEHAVIOR,"Billing, Tejinder Kaur",   ,Online,,3,30,0,0,0,30,5,0,5,
